CPU Stats,Memory Stats,Network Stats,Up Time
"[1.0, 48.8]","[5.19, 34.0, 2.58]","[415444454, 575621457, 931264, 1149084]",178310.30
"[1.0, 48.8]","[5.19, 34.0, 2.58]","[415457097, 575629620, 931330, 1149144]",178311.31
"[0.5, 48.8]","[5.19, 34.0, 2.58]","[415468225, 575637564, 931392, 1149205]",178312.31
"[0.8, 49.4]","[5.19, 34.0, 2.58]","[415478685, 575644110, 931421, 1149231]",178313.31
"[2.7, 49.4]","[5.19, 34.0, 2.58]","[415624938, 575719091, 931518, 1149294]",178314.32
"[0.8, 47.7]","[5.19, 34.0, 2.58]","[415648721, 575732798, 931591, 1149357]",178315.32
"[1.0, 48.8]","[5.19, 34.0, 2.58]","[415656388, 575738969, 931653, 1149417]",178316.33
"[1.0, 49.4]","[5.19, 34.0, 2.58]","[415664921, 575745624, 931715, 1149477]",178317.33
"[0.8, 47.2]","[5.19, 34.0, 2.58]","[415673230, 575751389, 931752, 1149510]",178318.33
"[0.8, 49.4]","[5.19, 34.0, 2.58]","[415682978, 575758633, 931789, 1149546]",178319.34
"[1.2, 48.8]","[5.19, 34.0, 2.58]","[415695464, 575767381, 931861, 1149615]",178320.34
"[1.0, 48.8]","[5.19, 34.0, 2.58]","[415707481, 575775270, 931928, 1149676]",178321.35
"[1.5, 48.3]","[5.19, 34.0, 2.58]","[415717474, 575782611, 931989, 1149735]",178322.35
"[0.8, 47.2]","[5.19, 34.0, 2.58]","[415726564, 575789279, 932022, 1149768]",178323.36
"[1.8, 48.8]","[5.19, 34.0, 2.58]","[415736734, 575795973, 932061, 1149802]",178324.36
"[1.0, 49.4]","[5.19, 34.0, 2.58]","[415748095, 575804279, 932131, 1149870]",178325.37
"[2.5, 48.8]","[5.19, 34.0, 2.58]","[415759151, 575811687, 932192, 1149928]",178326.37
"[1.2, 49.4]","[5.19, 34.0, 2.58]","[415771520, 575820142, 932257, 1149988]",178327.38
"[1.0, 48.8]","[5.19, 34.0, 2.58]","[415781303, 575826647, 932290, 1150018]",178328.38
"[0.5, 48.8]","[5.19, 34.0, 2.58]","[415791747, 575833845, 932336, 1150060]",178329.38
"[2.3, 48.8]","[5.19, 34.0, 2.58]","[415824687, 575861895, 932506, 1150236]",178330.39
"[2.2, 47.7]","[5.19, 34.0, 2.58]","[415859360, 575885920, 932642, 1150364]",178331.39
"[1.8, 48.8]","[5.19, 34.0, 2.58]","[415868024, 575892868, 932709, 1150429]",178332.40
"[1.2, 48.8]","[5.19, 34.0, 2.58]","[415874519, 575898275, 932743, 1150462]",178333.40
"[1.0, 48.3]","[5.19, 34.0, 2.58]","[415882866, 575903937, 932789, 1150502]",178334.41
"[2.5, 48.8]","[5.19, 34.0, 2.58]","[415897967, 575915242, 932869, 1150580]",178335.42
"[1.3, 47.7]","[5.19, 34.0, 2.58]","[415911232, 575925979, 932941, 1150649]",178336.42
"[1.7, 48.8]","[5.19, 34.0, 2.58]","[415921695, 575932954, 932995, 1150700]",178337.42
"[1.0, 48.3]","[5.19, 34.0, 2.58]","[415929123, 575938527, 933026, 1150730]",178338.43
"[1.3, 48.8]","[5.19, 34.0, 2.58]","[415938274, 575945387, 933076, 1150776]",178339.43
"[2.3, 49.4]","[5.19, 34.0, 2.58]","[415950221, 575954690, 933150, 1150849]",178340.44
"[1.0, 49.4]","[5.19, 34.0, 2.58]","[415962635, 575962956, 933217, 1150911]",178341.45
"[0.8, 47.2]","[5.19, 34.0, 2.58]","[415973391, 575970590, 933272, 1150965]",178342.45
"[0.8, 48.3]","[5.19, 34.0, 2.58]","[415981832, 575976875, 933310, 1151000]",178343.45
"[1.0, 49.4]","[5.19, 34.0, 2.58]","[415990985, 575982976, 933355, 1151039]",178344.46
"[7.0, 49.9]","[5.19, 34.0, 2.58]","[416045931, 576074635, 933499, 1151201]",178345.46
"[3.7, 48.8]","[5.19, 34.0, 2.58]","[416070790, 576115562, 933662, 1151364]",178346.47
"[6.2, 49.4]","[5.18, 34.1, 2.59]","[416134192, 576139937, 933801, 1151477]",178347.47
"[3.5, 51.0]","[5.18, 34.1, 2.59]","[416154646, 576148791, 933858, 1151548]",178348.47
"[1.0, 49.4]","[5.18, 34.1, 2.59]","[416174018, 576242802, 933972, 1151686]",178349.48
"[2.5, 48.8]","[5.18, 34.1, 2.59]","[416188722, 576322286, 934084, 1151824]",178350.49
"[1.5, 49.9]","[5.18, 34.2, 2.59]","[416202284, 576436301, 934197, 1151994]",178351.49
"[9.2, 50.5]","[5.17, 34.3, 2.6]","[416265148, 576556596, 934322, 1152144]",178352.49
"[0.8, 49.9]","[5.16, 34.3, 2.6]","[416362976, 576567436, 934421, 1152232]",178353.50
"[2.5, 49.4]","[5.16, 34.3, 2.6]","[416425809, 576581113, 934517, 1152312]",178354.50
"[2.2, 51.0]","[5.16, 34.4, 2.61]","[416438910, 576591090, 934590, 1152384]",178355.51
"[0.8, 51.0]","[5.16, 34.4, 2.61]","[416450026, 576599218, 934659, 1152449]",178356.51
"[2.3, 50.5]","[5.16, 34.4, 2.61]","[416463619, 576623394, 934749, 1152531]",178357.51
"[2.3, 49.9]","[5.16, 34.4, 2.61]","[416481394, 576683682, 934867, 1152662]",178358.52
"[4.3, 49.4]","[5.16, 34.4, 2.61]","[416515277, 576763089, 935051, 1152868]",178359.52
"[6.2, 51.0]","[5.16, 34.4, 2.61]","[416546911, 576832524, 935224, 1153067]",178360.53
"[3.8, 51.0]","[5.16, 34.4, 2.61]","[416591752, 576901158, 935469, 1153342]",178361.54
"[4.3, 51.0]","[5.16, 34.4, 2.61]","[416651847, 576990367, 935724, 1153627]",178362.54
"[5.3, 51.0]","[5.16, 34.4, 2.61]","[416751479, 577149043, 935987, 1153934]",178363.54
"[2.7, 49.9]","[5.16, 34.4, 2.61]","[416800604, 577183690, 936138, 1154077]",178364.55
"[3.8, 50.5]","[5.16, 34.4, 2.61]","[416824460, 577201099, 936245, 1154179]",178365.56
"[0.5, 51.0]","[5.16, 34.4, 2.61]","[416856447, 577230956, 936422, 1154360]",178366.56
"[0.5, 51.6]","[5.16, 34.4, 2.61]","[416885386, 577248725, 936509, 1154441]",178367.56
"[16.3, 52.1]","[5.14, 34.6, 2.63]","[416904336, 577265966, 936617, 1154546]",178368.57
"[20.1, 53.8]","[5.14, 34.7, 2.63]","[416938241, 577340207, 936753, 1154681]",178369.57
"[18.2, 51.6]","[5.13, 34.7, 2.64]","[416957406, 577356010, 936886, 1154812]",178370.57
"[5.3, 52.1]","[5.1, 35.2, 2.67]","[416984829, 577372453, 936961, 1154882]",178371.59
"[3.8, 51.6]","[5.16, 34.4, 2.61]","[417001127, 577386847, 937082, 1154999]",178372.59
"[7.1, 52.7]","[5.15, 34.5, 2.61]","[417255510, 577680186, 937280, 1155213]",178373.59
"[1.8, 52.7]","[5.15, 34.5, 2.62]","[417281186, 577695774, 937336, 1155264]",178374.59
"[2.3, 51.0]","[5.15, 34.5, 2.61]","[417293141, 577705818, 937415, 1155346]",178375.60
"[1.3, 51.6]","[5.15, 34.5, 2.61]","[417327276, 577727810, 937528, 1155453]",178376.60
"[1.5, 51.6]","[5.15, 34.5, 2.62]","[417358441, 577746699, 937623, 1155537]",178377.61
"[3.0, 52.1]","[5.15, 34.5, 2.61]","[417391182, 577771638, 937708, 1155618]",178378.61
"[0.5, 51.6]","[5.15, 34.5, 2.62]","[417418262, 577788405, 937766, 1155671]",178379.61
"[1.5, 51.6]","[5.15, 34.5, 2.62]","[417448838, 577806877, 937852, 1155751]",178380.62
"[0.7, 52.1]","[5.15, 34.5, 2.62]","[417478663, 577824632, 937940, 1155830]",178381.62
"[0.5, 51.6]","[5.15, 34.5, 2.62]","[417505958, 577840735, 938001, 1155886]",178382.63
"[1.3, 50.5]","[5.15, 34.5, 2.62]","[417534238, 577857987, 938062, 1155942]",178383.63
"[1.0, 51.0]","[5.18, 34.1, 2.58]","[417569375, 577881422, 938163, 1156040]",178384.64
"[2.5, 51.0]","[5.18, 34.1, 2.58]","[417601434, 577901719, 938256, 1156129]",178385.64
"[1.0, 50.5]","[5.18, 34.1, 2.59]","[417630647, 577919078, 938339, 1156206]",178386.64
"[2.0, 50.5]","[5.19, 34.1, 2.58]","[417665885, 577942532, 938431, 1156300]",178387.65
"[1.7, 50.5]","[5.19, 34.0, 2.58]","[417705997, 577971319, 938573, 1156443]",178388.65
"[1.0, 50.5]","[5.19, 34.0, 2.58]","[417734104, 577987741, 938638, 1156498]",178389.66
"[5.0, 50.5]","[5.19, 34.1, 2.58]","[417782277, 578023266, 938800, 1156657]",178390.66
"[1.8, 49.4]","[5.19, 34.1, 2.58]","[417814958, 578043865, 938907, 1156759]",178391.66
"[2.0, 51.6]","[5.19, 34.1, 2.58]","[417845951, 578063104, 938993, 1156838]",178392.67
"[0.8, 51.0]","[5.19, 34.1, 2.58]","[417872865, 578078868, 939051, 1156891]",178393.68
"[4.3, 49.4]","[5.19, 34.0, 2.58]","[417954906, 578144887, 939229, 1157058]",178394.68
"[2.7, 49.4]","[5.19, 34.1, 2.58]","[418008919, 578205746, 939342, 1157170]",178395.68
"[1.8, 51.0]","[5.18, 34.1, 2.58]","[418047255, 578230830, 939476, 1157297]",178396.69
"[1.0, 49.9]","[5.19, 34.1, 2.58]","[418080908, 578252497, 939570, 1157389]",178397.70
"[1.2, 48.8]","[5.19, 34.1, 2.58]","[418106761, 578267916, 939614, 1157432]",178398.70
"[0.8, 48.8]","[5.19, 34.0, 2.58]","[418133988, 578283037, 939673, 1157480]",178399.70
"[2.2, 49.9]","[5.18, 34.1, 2.58]","[418164329, 578301418, 939756, 1157554]",178400.71
"[1.8, 49.9]","[5.19, 34.1, 2.58]","[418199532, 578323149, 939866, 1157652]",178401.71
"[0.7, 51.0]","[5.18, 34.1, 2.59]","[418226115, 578338620, 939912, 1157696]",178402.75
"[0.8, 50.5]","[5.19, 34.0, 2.58]","[418252291, 578353410, 939960, 1157736]",178403.75
"[1.0, 49.9]","[5.19, 34.0, 2.58]","[418280338, 578369543, 940026, 1157793]",178404.76
"[2.0, 48.8]","[5.19, 34.1, 2.58]","[418311650, 578390135, 940103, 1157863]",178405.76
"[2.2, 48.3]","[5.19, 34.1, 2.58]","[418342056, 578407531, 940189, 1157937]",178406.77
"[2.5, 51.0]","[5.18, 34.1, 2.58]","[418373031, 578428758, 940245, 1157987]",178407.77
"[0.8, 49.4]","[5.19, 34.0, 2.58]","[418398954, 578443763, 940287, 1158022]",178408.77
"[1.2, 49.9]","[5.19, 34.0, 2.58]","[418427852, 578460135, 940359, 1158083]",178409.78
"[0.5, 49.9]","[5.19, 34.1, 2.58]","[418456276, 578476403, 940423, 1158137]",178410.78
"[0.8, 50.5]","[5.19, 34.1, 2.58]","[418486042, 578493695, 940502, 1158208]",178411.79
"[0.8, 50.5]","[5.18, 34.1, 2.58]","[418513074, 578508877, 940551, 1158253]",178412.79
"[1.0, 51.0]","[5.19, 34.1, 2.58]","[418539790, 578524261, 940596, 1158291]",178413.80
"[1.5, 49.9]","[5.18, 34.1, 2.58]","[418568549, 578540154, 940662, 1158344]",178414.80
"[1.0, 50.5]","[5.19, 34.1, 2.58]","[418597262, 578556947, 940728, 1158406]",178415.81
"[1.3, 49.4]","[5.19, 34.1, 2.58]","[418627346, 578573944, 940808, 1158477]",178416.81
"[1.0, 50.5]","[5.18, 34.1, 2.58]","[418654726, 578589516, 940856, 1158518]",178417.81
"[1.0, 49.9]","[5.18, 34.1, 2.58]","[418681160, 578604826, 940896, 1158554]",178418.82
"[1.2, 50.5]","[5.19, 34.1, 2.58]","[418710237, 578621019, 940965, 1158611]",178419.82
"[3.0, 49.9]","[5.18, 34.1, 2.59]","[418742238, 578643990, 941041, 1158676]",178420.82
"[0.8, 51.0]","[5.18, 34.1, 2.58]","[418773954, 578662479, 941119, 1158751]",178421.83
"[0.5, 51.0]","[5.18, 34.1, 2.58]","[418801527, 578677592, 941166, 1158789]",178422.83
"[1.3, 51.6]","[5.19, 34.1, 2.58]","[418828371, 578693092, 941209, 1158826]",178423.83
"[0.8, 50.5]","[5.19, 34.1, 2.58]","[418858077, 578710070, 941280, 1158886]",178424.84
"[1.0, 50.5]","[5.18, 34.1, 2.58]","[418887056, 578726267, 941343, 1158941]",178425.85
"[1.5, 49.9]","[5.18, 34.1, 2.59]","[418917303, 578743692, 941418, 1159008]",178426.85
"[1.0, 51.0]","[5.18, 34.1, 2.59]","[418945115, 578759548, 941466, 1159050]",178427.86
"[0.5, 50.5]","[5.19, 34.1, 2.58]","[418972678, 578774943, 941513, 1159088]",178428.86
"[1.0, 49.9]","[5.18, 34.1, 2.58]","[419001983, 578791268, 941576, 1159141]",178429.86
"[1.0, 50.5]","[5.18, 34.1, 2.58]","[419031860, 578808261, 941645, 1159198]",178430.87
"[1.3, 49.9]","[5.19, 34.1, 2.58]","[419062740, 578825993, 941724, 1159266]",178431.87
"[0.8, 49.9]","[5.19, 34.1, 2.58]","[419090369, 578841252, 941767, 1159303]",178432.88
"[0.8, 49.9]","[5.19, 34.1, 2.58]","[419117923, 578857130, 941812, 1159342]",178433.88
"[1.0, 50.5]","[5.19, 34.1, 2.58]","[419147757, 578874146, 941876, 1159398]",178434.89
"[0.8, 49.4]","[5.19, 34.1, 2.58]","[419177721, 578891012, 941942, 1159455]",178435.89
"[1.5, 49.4]","[5.18, 34.1, 2.59]","[419208442, 578908763, 942015, 1159522]",178436.89
"[1.2, 49.9]","[5.18, 34.1, 2.59]","[419236497, 578924945, 942062, 1159563]",178437.90
"[0.8, 49.9]","[5.18, 34.1, 2.59]","[419264311, 578940850, 942107, 1159602]",178438.91
"[1.8, 49.9]","[5.18, 34.1, 2.58]","[419294706, 578958053, 942175, 1159659]",178439.91
"[1.0, 49.9]","[5.18, 34.1, 2.59]","[419324889, 578974814, 942243, 1159716]",178440.91
"[1.2, 51.0]","[5.19, 34.1, 2.58]","[419356199, 578992636, 942320, 1159782]",178441.92
"[0.8, 48.8]","[5.18, 34.1, 2.59]","[419384720, 579008295, 942368, 1159820]",178443.02
"[0.8, 48.8]","[5.18, 34.1, 2.58]","[419412396, 579024015, 942407, 1159853]",178444.03
"[1.2, 49.9]","[5.18, 34.1, 2.58]","[419443215, 579041616, 942478, 1159914]",178445.03
"[0.8, 49.9]","[5.18, 34.1, 2.58]","[419473830, 579058711, 942548, 1159972]",178446.04
"[0.8, 49.9]","[5.18, 34.1, 2.58]","[419505957, 579077126, 942631, 1160043]",178447.04
"[1.0, 49.4]","[5.18, 34.1, 2.59]","[419534133, 579092911, 942672, 1160077]",178448.14
"[1.2, 48.8]","[5.18, 34.1, 2.59]","[419562734, 579108846, 942719, 1160115]",178449.15
"[0.8, 48.8]","[5.18, 34.1, 2.59]","[419593679, 579126477, 942789, 1160175]",178450.15
"[1.5, 49.4]","[5.18, 34.1, 2.58]","[419624729, 579144055, 942859, 1160233]",178451.16
"[0.8, 49.4]","[5.18, 34.1, 2.58]","[419656329, 579161551, 942933, 1160294]",178452.16
"[1.0, 49.4]","[5.19, 34.1, 2.58]","[419684637, 579177567, 942976, 1160330]",178453.16
"[1.2, 48.8]","[5.18, 34.1, 2.58]","[419713252, 579193726, 943019, 1160366]",178454.17
"[0.8, 49.4]","[5.18, 34.1, 2.58]","[419744573, 579211035, 943090, 1160425]",178455.18
"[2.0, 49.9]","[5.18, 34.1, 2.58]","[419775445, 579228277, 943156, 1160481]",178456.18
"[1.5, 49.9]","[5.19, 34.1, 2.58]","[419807291, 579246327, 943229, 1160544]",178457.18
"[1.0, 47.7]","[5.19, 34.1, 2.58]","[419835999, 579262461, 943272, 1160579]",178458.19
"[1.2, 49.4]","[5.18, 34.1, 2.58]","[419864942, 579278576, 943318, 1160617]",178459.20
"[1.0, 49.4]","[5.19, 34.0, 2.58]","[419898218, 579296960, 943391, 1160686]",178460.20
"[1.2, 49.4]","[5.19, 34.1, 2.58]","[419929755, 579314967, 943462, 1160748]",178461.21
"[1.2, 49.9]","[5.19, 34.1, 2.58]","[419962439, 579333119, 943543, 1160816]",178462.21
"[1.0, 49.4]","[5.19, 34.1, 2.58]","[419991020, 579349262, 943583, 1160851]",178463.21
"[1.2, 48.3]","[5.18, 34.1, 2.58]","[420020285, 579365981, 943627, 1160891]",178464.22
"[1.7, 48.8]","[5.18, 34.1, 2.58]","[420051948, 579383582, 943694, 1160950]",178465.22
"[0.8, 49.4]","[5.19, 34.0, 2.58]","[420083847, 579401945, 943766, 1161014]",178466.23
"[1.2, 49.4]","[5.19, 34.0, 2.58]","[420117059, 579421016, 943850, 1161090]",178467.23
"[0.8, 49.4]","[5.19, 34.0, 2.58]","[420145792, 579436591, 943885, 1161117]",178468.24
"[0.8, 49.9]","[5.19, 34.1, 2.58]","[420175532, 579453165, 943933, 1161157]",178469.24
"[1.2, 49.4]","[5.19, 34.1, 2.58]","[420207682, 579471551, 944001, 1161220]",178470.25
"[1.7, 49.4]","[5.19, 34.0, 2.58]","[420240045, 579489876, 944075, 1161284]",178471.25
"[2.0, 49.9]","[5.19, 34.1, 2.58]","[420273057, 579508375, 944155, 1161355]",178472.26
"[1.2, 48.3]","[5.18, 34.1, 2.58]","[420302316, 579524856, 944195, 1161389]",178473.26
"[1.3, 49.9]","[5.18, 34.1, 2.58]","[420332303, 579541915, 944241, 1161429]",178474.26
"[0.8, 48.3]","[5.18, 34.1, 2.58]","[420364699, 579559933, 944310, 1161490]",178475.27
"[1.0, 48.8]","[5.18, 34.1, 2.58]","[420397566, 579578786, 944384, 1161556]",178476.28
"[1.7, 49.4]","[5.18, 34.1, 2.59]","[420430360, 579597436, 944457, 1161621]",178477.28
"[0.8, 48.8]","[5.18, 34.1, 2.59]","[420459730, 579613470, 944495, 1161652]",178478.29
"[1.2, 48.8]","[5.19, 34.0, 2.58]","[420489978, 579630702, 944541, 1161692]",178479.29
"[1.5, 48.8]","[5.19, 34.1, 2.58]","[420522922, 579649442, 944612, 1161755]",178480.29
"[1.0, 47.7]","[5.18, 34.1, 2.58]","[420555894, 579667584, 944686, 1161816]",178481.30
"[1.0, 48.8]","[5.18, 34.1, 2.58]","[420588803, 579685755, 944756, 1161876]",178482.30
"[1.7, 48.8]","[5.18, 34.1, 2.58]","[420618515, 579702473, 944794, 1161909]",178483.31
"[1.2, 49.4]","[5.18, 34.1, 2.59]","[420649514, 579720075, 944847, 1161953]",178484.31
"[1.0, 49.4]","[5.18, 34.1, 2.59]","[420682915, 579738652, 944922, 1162018]",178485.32
"[1.5, 49.9]","[5.18, 34.1, 2.58]","[420716331, 579757848, 944996, 1162085]",178486.32
"[0.5, 49.9]","[5.18, 34.1, 2.59]","[420749395, 579776554, 945066, 1162147]",178487.33
"[1.0, 48.8]","[5.18, 34.1, 2.59]","[420779553, 579793297, 945106, 1162178]",178488.33
"[2.0, 49.4]","[5.18, 34.1, 2.59]","[420810101, 579810572, 945149, 1162213]",178489.34
"[1.0, 48.3]","[5.18, 34.1, 2.59]","[420844052, 579829931, 945228, 1162283]",178490.34
"[1.5, 49.4]","[5.18, 34.1, 2.58]","[420877457, 579848246, 945299, 1162341]",178491.35
"[1.0, 48.3]","[5.18, 34.1, 2.59]","[420910661, 579867026, 945368, 1162400]",178492.35
"[0.8, 49.4]","[5.18, 34.1, 2.59]","[420941147, 579883824, 945411, 1162434]",178493.36
"[1.3, 48.8]","[5.18, 34.1, 2.59]","[420971984, 579901147, 945455, 1162471]",178494.36
"[1.3, 48.8]","[5.18, 34.1, 2.59]","[421006023, 579919938, 945530, 1162536]",178495.36
"[1.2, 49.9]","[5.18, 34.1, 2.59]","[421040046, 579939367, 945607, 1162604]",178496.37
"[1.0, 48.3]","[5.18, 34.1, 2.59]","[421073501, 579958064, 945675, 1162660]",178497.37
"[0.5, 49.4]","[5.18, 34.1, 2.59]","[421104692, 579975291, 945721, 1162697]",178498.48
"[1.0, 48.8]","[5.18, 34.1, 2.59]","[421136577, 579993160, 945774, 1162741]",178499.48
"[0.8, 48.3]","[5.18, 34.1, 2.59]","[421169899, 580012000, 945839, 1162799]",178500.49
"[1.5, 48.8]","[5.18, 34.1, 2.58]","[421204595, 580031108, 945919, 1162864]",178501.49
"[0.8, 48.8]","[5.18, 34.1, 2.59]","[421237894, 580049841, 945983, 1162919]",178502.50
"[1.0, 49.9]","[5.18, 34.1, 2.59]","[421269260, 580067485, 946028, 1162955]",178503.50
"[0.3, 49.4]","[5.18, 34.1, 2.59]","[421301509, 580085048, 946082, 1162997]",178504.50
"[2.0, 48.3]","[5.18, 34.1, 2.58]","[421335370, 580104169, 946150, 1163057]",178505.51
"[1.2, 48.8]","[5.18, 34.1, 2.59]","[421369985, 580123866, 946226, 1163123]",178506.51
"[1.7, 47.7]","[5.18, 34.1, 2.59]","[421403268, 580142113, 946287, 1163174]",178507.52
"[0.8, 48.3]","[5.18, 34.1, 2.59]","[421435077, 580160112, 946335, 1163214]",178508.62
"[1.5, 48.8]","[5.18, 34.1, 2.59]","[421468074, 580178005, 946394, 1163259]",178509.63
"[1.0, 48.8]","[5.18, 34.1, 2.58]","[421501962, 580197155, 946459, 1163318]",178510.63
"[1.0, 48.3]","[5.18, 34.1, 2.58]","[421536968, 580216539, 946535, 1163384]",178511.64
"[1.2, 48.8]","[5.18, 34.1, 2.58]","[421570100, 580235003, 946591, 1163431]",178512.64
"[0.8, 47.7]","[5.18, 34.1, 2.58]","[421601882, 580252993, 946634, 1163468]",178513.65
"[0.7, 47.7]","[5.18, 34.1, 2.58]","[421635069, 580271094, 946692, 1163514]",178514.65
"[1.0, 48.3]","[5.18, 34.1, 2.58]","[421669888, 580290701, 946765, 1163577]",178515.66
"[1.0, 48.8]","[5.18, 34.1, 2.58]","[421704811, 580310510, 946836, 1163640]",178516.66
"[1.2, 49.4]","[5.19, 34.1, 2.58]","[421738378, 580328849, 946896, 1163689]",178517.67
"[1.5, 48.8]","[5.19, 34.0, 2.58]","[421770787, 580347214, 946944, 1163730]",178518.67
"[0.5, 47.7]","[5.19, 34.0, 2.58]","[421804578, 580366115, 947005, 1163782]",178519.68
"[1.0, 48.8]","[5.19, 34.1, 2.58]","[421839183, 580385054, 947073, 1163837]",178520.68
"[2.5, 48.3]","[5.18, 34.1, 2.58]","[421874941, 580404886, 947151, 1163903]",178521.68
"[1.0, 48.3]","[5.18, 34.1, 2.59]","[421908572, 580423383, 947206, 1163948]",178522.69
"[1.2, 48.8]","[5.18, 34.1, 2.59]","[421941174, 580441757, 947252, 1163988]",178523.69
"[1.2, 49.9]","[5.18, 34.1, 2.58]","[421975418, 580460375, 947317, 1164038]",178524.70
"[1.2, 48.8]","[5.18, 34.1, 2.58]","[422010427, 580480034, 947386, 1164097]",178525.70
"[1.7, 48.3]","[5.18, 34.1, 2.58]","[422052994, 580506011, 947495, 1164196]",178526.71
"[1.2, 48.8]","[5.19, 34.0, 2.58]","[422086891, 580524638, 947549, 1164243]",178527.71
"[1.7, 47.7]","[5.19, 34.1, 2.58]","[422119863, 580543232, 947597, 1164283]",178528.71
"[1.0, 49.9]","[5.19, 34.1, 2.58]","[422154579, 580562450, 947661, 1164334]",178529.72
"[1.2, 48.3]","[5.19, 34.1, 2.58]","[422189501, 580581592, 947728, 1164393]",178530.72
"[1.0, 48.8]","[5.19, 34.1, 2.58]","[422225697, 580601762, 947803, 1164455]",178531.73
"[0.8, 49.4]","[5.19, 34.1, 2.58]","[422259442, 580620141, 947853, 1164497]",178532.73
"[1.5, 47.7]","[5.18, 34.1, 2.58]","[422292326, 580638553, 947897, 1164535]",178533.74
"[0.8, 49.4]","[5.18, 34.1, 2.58]","[422327231, 580657760, 947962, 1164587]",178534.74
"[0.8, 48.8]","[5.18, 34.1, 2.58]","[422362709, 580677746, 948029, 1164649]",178535.74
"[1.0, 49.4]","[5.18, 34.1, 2.59]","[422399891, 580698576, 948116, 1164722]",178536.75
"[0.8, 48.8]","[5.18, 34.1, 2.59]","[422434137, 580717721, 948172, 1164774]",178537.75
"[1.8, 48.3]","[5.18, 34.1, 2.59]","[422467482, 580736807, 948219, 1164817]",178538.76
"[1.0, 48.3]","[5.18, 34.1, 2.58]","[422503019, 580756446, 948286, 1164871]",178539.77
"[1.0, 48.3]","[5.18, 34.1, 2.58]","[422538216, 580775577, 948349, 1164925]",178540.77
"[1.3, 47.2]","[5.18, 34.1, 2.58]","[422574649, 580796236, 948420, 1164989]",178541.77
"[1.2, 47.7]","[5.19, 34.1, 2.58]","[422609320, 580815797, 948477, 1165041]",178542.78
"[1.2, 48.8]","[5.18, 34.1, 2.58]","[422645345, 580835254, 948533, 1165092]",178543.78
"[1.2, 48.3]","[5.18, 34.1, 2.59]","[422680720, 580855027, 948596, 1165146]",178544.78
"[1.0, 47.2]","[5.18, 34.1, 2.59]","[422716779, 580874796, 948667, 1165206]",178545.79
"[1.0, 47.7]","[5.18, 34.1, 2.59]","[422753786, 580895547, 948748, 1165275]",178546.79
"[1.0, 47.7]","[5.18, 34.1, 2.59]","[422788839, 580914968, 948806, 1165329]",178547.80
"[1.3, 47.7]","[5.18, 34.1, 2.58]","[422822388, 580933967, 948848, 1165368]",178548.80
"[1.5, 48.8]","[5.18, 34.1, 2.58]","[422858475, 580954068, 948917, 1165425]",178549.81
"[1.0, 48.3]","[5.18, 34.1, 2.58]","[422894989, 580973862, 948988, 1165481]",178550.81
"[1.5, 48.8]","[5.18, 34.1, 2.59]","[422932348, 580994737, 949070, 1165550]",178551.82
"[0.8, 48.8]","[5.18, 34.1, 2.59]","[422967033, 581013934, 949120, 1165591]",178552.82
"[0.5, 47.2]","[5.18, 34.1, 2.59]","[423001326, 581032691, 949169, 1165630]",178553.83
"[2.0, 48.3]","[5.18, 34.1, 2.59]","[423038271, 581053324, 949244, 1165692]",178554.83
"[1.0, 49.4]","[5.18, 34.1, 2.59]","[423074673, 581073694, 949312, 1165751]",178555.84
"[1.5, 48.3]","[5.18, 34.1, 2.58]","[423112109, 581093894, 949390, 1165812]",178556.84
"[0.8, 48.3]","[5.18, 34.1, 2.59]","[423147358, 581113243, 949443, 1165855]",178557.84
"[1.0, 48.3]","[5.18, 34.1, 2.59]","[423181942, 581132581, 949492, 1165895]",178558.85
"[1.2, 48.8]","[5.19, 34.1, 2.58]","[423218676, 581152551, 949561, 1165950]",178559.85
"[1.2, 48.8]","[5.18, 34.1, 2.58]","[423255351, 581172528, 949628, 1166005]",178560.86
"[1.5, 48.3]","[5.18, 34.1, 2.58]","[423293107, 581193288, 949703, 1166064]",178561.86
"[0.8, 48.8]","[5.18, 34.1, 2.58]","[423328746, 581213033, 949758, 1166110]",178562.87
"[1.0, 48.3]","[5.19, 34.0, 2.58]","[423363864, 581231995, 949808, 1166149]",178563.87
"[1.0, 47.7]","[5.18, 34.1, 2.58]","[423401286, 581252703, 949880, 1166206]",178564.88
"[1.0, 48.3]","[5.19, 34.1, 2.58]","[423438576, 581273390, 949950, 1166265]",178565.88
"[1.0, 49.4]","[5.19, 34.0, 2.58]","[423476405, 581294083, 950025, 1166329]",178566.89
"[1.0, 47.7]","[5.18, 34.1, 2.58]","[423511997, 581313777, 950079, 1166372]",178567.89
"[1.5, 47.7]","[5.19, 34.1, 2.58]","[423547181, 581332511, 950128, 1166407]",178568.90
"[1.2, 48.8]","[5.18, 34.1, 2.58]","[423584921, 581353399, 950201, 1166465]",178569.90
"[2.0, 47.7]","[5.18, 34.1, 2.58]","[423622640, 581374336, 950272, 1166526]",178570.91
"[1.3, 48.3]","[5.18, 34.1, 2.58]","[423660976, 581395306, 950351, 1166593]",178571.91
"[1.2, 48.8]","[5.18, 34.1, 2.58]","[423696188, 581414708, 950397, 1166630]",178572.91
"[1.0, 48.8]","[5.18, 34.1, 2.59]","[423731381, 581433877, 950444, 1166667]",178573.92
