CPU Stats,Memory Stats,Network Stats,Up Time
"[0.8, 51.6]","[5.27, 33.0, 2.5]","[401260069, 559425133, 852795, 1070390]",177401.69
"[1.5, 51.6]","[5.27, 33.0, 2.5]","[401299112, 559444490, 852925, 1070535]",177402.69
"[3.3, 51.6]","[5.27, 33.0, 2.5]","[401351987, 559505909, 853226, 1070853]",177403.69
"[1.7, 51.0]","[5.27, 33.0, 2.5]","[401364868, 559517324, 853324, 1070948]",177404.70
"[1.8, 49.9]","[5.27, 33.0, 2.5]","[401385073, 559535871, 853460, 1071093]",177405.70
"[0.8, 50.5]","[5.28, 32.8, 2.49]","[401394619, 559543041, 853544, 1071170]",177406.71
"[2.0, 51.0]","[5.29, 32.7, 2.48]","[401403883, 559551599, 853624, 1071249]",177407.71
"[2.8, 50.5]","[5.3, 32.7, 2.47]","[401440350, 559560990, 853724, 1071337]",177408.71
"[2.3, 49.4]","[5.3, 32.7, 2.47]","[401509793, 559582355, 853910, 1071519]",177409.72
"[2.7, 49.9]","[5.3, 32.6, 2.47]","[401541686, 559597245, 854040, 1071651]",177410.72
"[1.0, 50.5]","[5.3, 32.6, 2.47]","[401555891, 559608674, 854147, 1071756]",177411.73
"[3.5, 51.0]","[5.3, 32.6, 2.47]","[401703625, 559687681, 854262, 1071836]",177412.73
"[0.5, 49.4]","[5.3, 32.6, 2.47]","[401709588, 559693172, 854305, 1071880]",177413.74
"[0.5, 49.9]","[5.3, 32.6, 2.47]","[401716790, 559698722, 854373, 1071940]",177414.74
"[0.5, 49.9]","[5.3, 32.6, 2.47]","[401723677, 559704737, 854438, 1072004]",177415.75
"[1.5, 50.5]","[5.3, 32.6, 2.47]","[401730958, 559711010, 854502, 1072069]",177416.75
"[0.8, 51.6]","[5.3, 32.6, 2.47]","[401736458, 559715624, 854550, 1072114]",177417.75
"[0.5, 49.4]","[5.3, 32.6, 2.47]","[401741466, 559720020, 854595, 1072155]",177418.76
"[0.5, 49.9]","[5.3, 32.6, 2.47]","[401748456, 559725994, 854661, 1072217]",177419.76
"[2.2, 49.9]","[5.3, 32.6, 2.47]","[401755279, 559731787, 854722, 1072274]",177420.77
"[1.5, 49.9]","[5.3, 32.6, 2.47]","[401763475, 559738087, 854796, 1072345]",177421.87
"[1.8, 51.0]","[5.3, 32.7, 2.47]","[401768405, 559742545, 854839, 1072386]",177422.87
"[0.5, 48.3]","[5.3, 32.7, 2.47]","[401773344, 559747482, 854884, 1072430]",177423.88
"[0.3, 49.4]","[5.3, 32.7, 2.47]","[401781147, 559753445, 854958, 1072496]",177424.88
"[0.5, 49.4]","[5.3, 32.6, 2.47]","[401787816, 559759228, 855017, 1072554]",177425.89
"[0.5, 48.8]","[5.3, 32.6, 2.47]","[401795734, 559765910, 855091, 1072626]",177426.89
"[6.8, 50.5]","[5.29, 32.7, 2.47]","[401839560, 559835886, 855214, 1072745]",177427.90
"[0.3, 49.9]","[5.29, 32.7, 2.47]","[401903314, 559849827, 855307, 1072819]",177428.90
